timestamp,test-class,test-method,time,description,result
2021-06-09 09:52:28.745,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,6152,"[1] recordIndex=0, moment=2021/06/02 10:00, author=John Doe, text=I'm happy!, info=null, atr1=aa:21:0609, atr2=2021/05/02 10:00, atr3=USD 0.01, atr4=true",OK
2021-06-09 09:52:31.51,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,2413,"[2] recordIndex=1, moment=2021/06/02 16:00, author=Foo Bar, text=Just turning 50!, info=http://www.example1.org, atr1=ab:21:0609, atr2=2021/05/02 10:00, atr3=EUR 80.00, atr4=false",Expected value 'ab:21:0609' in attribute 4 of record 1, but found 'ac:21:0609'
2021-06-09 09:52:34.023,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1721,"[3] recordIndex=2, moment=2021/06/02 01:00, author=Francisco Borrego, text=Este es un texto muy guay., info=null, atr1=ac:21:0609, atr2=2021/05/02 10:00, atr3=EUR 80.00, atr4=false",Expected value 'ac:21:0609' in attribute 4 of record 2, but found 'ad:21:0609'
2021-06-09 09:52:35.964,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1303,"[4] recordIndex=3, moment=2021/06/02 13:00, author=Jesus Vargas, text=Hola miren mi proyecto., info=https://github.com/Francisco-Borrego/Acme-Planner/, atr1=ad:21:0609, atr2=2021/05/02 10:00, atr3=USD 80.00, atr4=false",Expected value 'ad:21:0609' in attribute 4 of record 3, but found 'af:21:0609'
2021-06-09 09:52:39.236,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,2728,"[5] recordIndex=4, moment=2021/06/02 21:00, author=Antonio Funes, text=Me gusta mucho esta página., info=https://www.us.es/, atr1=af:21:0609, atr2=2021/05/02 10:00, atr3=USD 80.00, atr4=false",Expected value 'af:21:0609' in attribute 4 of record 4, but found 'ag:21:0609'
2021-06-09 09:52:43.744,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,4037,"[6] recordIndex=5, moment=2021/06/02 21:00, author=Usuario de incógnito, text=Esta página está chula, info=https://www.google.es/, atr1=ah:21:0609, atr2=2021/05/02 10:00, atr3=EUR 80.00, atr4=false",Expected value 'EUR 80.00' in attribute 6 of record 5, but found 'USD 80.00'
2021-06-09 09:53:27.235,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,11788,"[1] recordIndex=6, author=12345, text=12345, info=null, atr1=aaaa:21:0609, atr2=2022/01/01 10:00, atr3=EUR 9,999,999,999.99, atr4=true",OK
2021-06-09 09:53:33.56,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,5720,"[2] recordIndex=7, author=123456, text=123456, info=http://www.example1.org, atr1=abaa:21:0609, atr2=2022/02/01 11:45, atr3=USD 0.00, atr4=false",OK
2021-06-09 09:53:47.963,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,13654,"[3] recordIndex=8, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, atr1=acaa:21:0609, atr2=2022/01/01 10:00, atr3=EUR 0.01, atr4=true",OK
2021-06-09 09:53:56.17,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,7606,"[4] recordIndex=9, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, atr1=aaaa:21:0609, atr2=2022/01/01 10:00, atr3=USD 9,999,999,999.99, atr4=false",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
2021-06-09 09:54:00.707,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3978,"[1] author=, text=null, info=n, atr1=null, atr2=null, atr3=null, atr4=true",OK
2021-06-09 09:54:05.388,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,4186,"[2] author=12345678901234567890123456, text=1 2 3 4 5 6 7 8 hard          core, info=http, atr1=null, atr2=null, atr3=null, atr4=true",OK
2021-06-09 09:54:09.086,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3391,"[3] author=1234, text=1234, info=google.es, atr1=null, atr2=null, atr3=null, atr4=true",OK
2021-06-09 09:54:12.379,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,2829,"[4] author=, text=12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901, info=alum.us.es, atr1=null, atr2=null, atr3=null, atr4=true",OK
2021-06-09 09:54:15.737,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3042,"[5] author=, text=sex dd     hard             core, info=https//g, atr1=null, atr2=null, atr3=null, atr4=true",OK
2021-06-09 09:54:19.614,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3279,"[6] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=patron incorrecto, atr2=2022/01/01 10:00, atr3=EUR 100.00, atr4=true",OK
2021-06-09 09:54:23.336,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3368,"[7] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0609, atr2=2022/01/01 10:00, atr3=EUR 100.00, atr4=true",OK
2021-06-09 09:54:26.87,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3116,"[8] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0609, atr2=patron incorrecto, atr3=EUR 100.00, atr4=true",OK
2021-06-09 09:54:30.5,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3332,"[9] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0609, atr2=2020/01/01 10:00, atr3=EUR 100.00, atr4=true",OK
2021-06-09 09:54:34.526,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3361,"[10] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0609, atr2=2022/01/01 10:00, atr3=patron incorrecto, atr4=true",OK
2021-06-09 09:54:38.904,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3730,"[11] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0609, atr2=2022/01/01 10:00, atr3=EUR -0.01, atr4=true",OK
2021-06-09 09:54:43.501,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,4239,"[12] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0609, atr2=2022/01/01 10:00, atr3=EUR 12,345,678,901.01345, atr4=true",OK
2021-06-09 09:54:47.148,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,3339,"[13] author=John Doe, text=Texto de prueba, info=2021/06/02 10:00, atr1=aa:21:0509, atr2=2022/01/01 10:00, atr3=AAA 100.00, atr4=true",OK
