timestamp,test-class,test-method,time,description,result
2021-09-05 10:03:11.608,acme.testing.examen.AdministratorDashboardShowTest,showPositive,5914,"[1] ratioShoutsFlaggedAsImportant=62.5, ratioShoutsWithBudgetZero=25.0, averageShoutsGroupedByEUR=45.0, deviationShoutsGroupedByEUR=39.37, averageShoutsGroupedByUSD=15.0, deviationShoutsGroupedByUSD=17.8, averageShoutsGroupedByGBP=5.0, deviationShoutsGroupedByGBP=5.0, nPrivateTask=3, nPublicTask=15, nFinishedTask=8, nNotFinishedTask=10, averageTaskExecutionPeriods=518.44, deviationTaskExecutionPeriods=926.39, minimumTaskExecutionPeriods=0, maximumTaskExecutionPeriods=4029, averageTaskWorkloads=25.05, deviationTaskWorkloads=32.08, minimumTaskWorkloads=0.10, maximumTaskWorkloads=90.45",OK
2021-09-05 10:03:27.973,acme.testing.examen.AnonymousShoutsListTest,list,4622,"[1] recordIndex=0, moment=2021/08/25 10:00, author=John Doe, text=I'm happy!, info=null, xxx1=AAA/25/08/21, xxx2=2021/09/03 10:00, xxx3=EUR 100.00, xxx4=true",OK
2021-09-05 10:03:32.192,acme.testing.examen.AnonymousShoutsListTest,list,3998,"[2] recordIndex=1, moment=2021/08/25 12:00, author=Jane Doe, text=I'm the master of my room!, info=http://www.example.org, xxx1=AAB/25/08/21, xxx2=2021/09/04 12:00, xxx3=USD 0.00, xxx4=true",OK
2021-09-05 10:03:36.37,acme.testing.examen.AnonymousShoutsListTest,list,3971,"[3] recordIndex=2, moment=2021/08/25 16:00, author=Foo Bar, text=Just turning 50!, info=http://www.example1.org, xxx1=ABA/25/08/21, xxx2=2021/09/05 16:00, xxx3=GBP 10.00, xxx4=false",OK
2021-09-05 10:03:40.581,acme.testing.examen.AnonymousShoutsListTest,list,4002,"[4] recordIndex=3, moment=2021/08/25 01:00, author=Francisco Borrego, text=Este es un texto muy guay., info=null, xxx1=BAA/25/08/21, xxx2=2021/09/06 01:00, xxx3=EUR 10.00, xxx4=false",OK
2021-09-05 10:03:44.775,acme.testing.examen.AnonymousShoutsListTest,list,3988,"[5] recordIndex=4, moment=2021/08/25 13:00, author=Jesus Vargas, text=Hola miren mi proyecto., info=https://github.com/Francisco-Borrego/Acme-Planner/, xxx1=BBA/25/08/21, xxx2=2021/09/07 13:00, xxx3=GBP 0.00, xxx4=true",OK
2021-09-05 10:03:48.945,acme.testing.examen.AnonymousShoutsListTest,list,3965,"[6] recordIndex=5, moment=2021/08/25 21:00, author=Antonio Funes, text=Me gusta mucho esta página., info=https://www.us.es/, xxx1=BAB/25/08/21, xxx2=2021/09/08 21:00, xxx3=USD 40.00, xxx4=true",OK
2021-09-05 10:03:52.178,acme.testing.examen.AnonymousShoutsListTest,list,3028,"[7] recordIndex=6, moment=2021/08/25 21:00, author=Usuario de incógnito, text=Esta página está chula, info=https://www.google.es/, xxx1=BBB/25/08/21, xxx2=2021/09/09 21:00, xxx3=EUR 25.00, xxx4=true",OK
2021-09-05 10:04:06.355,acme.testing.examen.AnonymousShoutsCreateTest,create,6465,"[1] recordIndex=7, author=12345, text=1, info=null, xxx1=AWA/, xxx2=null, xxx3=EUR 0.00, xxx4=true",OK
2021-09-05 10:04:11.89,acme.testing.examen.AnonymousShoutsCreateTest,create,5334,"[2] recordIndex=8, author=123456, text=12, info=http://www.example1.org, xxx1=EWE/, xxx2=null, xxx3=USD 15.00, xxx4=false",OK
2021-09-05 10:04:19.683,acme.testing.examen.AnonymousShoutsCreateTest,create,7590,"[3] recordIndex=9, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, xxx1=OWO/, xxx2=null, xxx3=USD 0.50, xxx4=false",OK
